league,season,team_id,team,player_id,player_name,position,age,value_m
Eredivisie,2021,200,FC Utrecht,396077,Maarten Paes,Goalkeeper,24,0.9
Eredivisie,2021,200,FC Utrecht,462285,Fabian de Keijzer,Goalkeeper,22,0.9
Eredivisie,2021,200,FC Utrecht,152460,Eric Oelschlägel,Goalkeeper,26,0.5
Eredivisie,2021,200,FC Utrecht,315235,Thijmen Nijhuis,Goalkeeper,23,0.2
Eredivisie,2021,200,FC Utrecht,471797,Joey Houweling,Goalkeeper,22,0.075
Eredivisie,2021,200,FC Utrecht,607133,Kevin Gadellaa,Goalkeeper,19,0.025
Eredivisie,2021,200,FC Utrecht,187105,Mike van der Hoorn,Centre-Back,29,1.6
Eredivisie,2021,200,FC Utrecht,458734,Tommy St. Jago,Centre-Back,22,1.0
Eredivisie,2021,200,FC Utrecht,387199,Benaissa Benamar,Centre-Back,25,0.425
Eredivisie,2021,200,FC Utrecht,477249,Christopher Mamengi,Centre-Back,21,0.425
Eredivisie,2021,200,FC Utrecht,596178,Rick Meissen,Centre-Back,20,0.3
Eredivisie,2021,200,FC Utrecht,578421,Ruben Kluivert,Centre-Back,21,0.2
Eredivisie,2021,200,FC Utrecht,288449,Django Warmerdam,Left-Back,26,1.2
Eredivisie,2021,200,FC Utrecht,258519,Hidde ter Avest,Right-Back,25,2.0
Eredivisie,2021,200,FC Utrecht,128042,Mark van der Maarel,Right-Back,32,0.4
Eredivisie,2021,200,FC Utrecht,596144,Raymond Huizing,Right-Back,20,0.2
Eredivisie,2021,200,FC Utrecht,150663,Sylian Mokono,Right-Back,23,0.2
Eredivisie,2021,200,FC Utrecht,182582,Joris van Overeem,Defensive Midfield,28,0.9
Eredivisie,2021,200,FC Utrecht,361066,Davy van den Berg,Defensive Midfield,22,0.25
Eredivisie,2021,200,FC Utrecht,420213,Quinten Timber,Central Midfield,21,4.0
Eredivisie,2021,200,FC Utrecht,122421,Adam Maher,Central Midfield,28,3.8
Eredivisie,2021,200,FC Utrecht,596148,Djevencio van der Kust,Central Midfield,21,0.65
Eredivisie,2021,200,FC Utrecht,488296,Rocco Shein,Central Midfield,18,0.25
Eredivisie,2021,200,FC Utrecht,20586,Urby Emanuelson,Central Midfield,36,0.1
Eredivisie,2021,200,FC Utrecht,536477,Arthur Zagré,Left Midfield,20,1.0
Eredivisie,2021,200,FC Utrecht,255474,Simon Gustafson,Attacking Midfield,27,1.8
Eredivisie,2021,200,FC Utrecht,190222,Sander van de Streek,Attacking Midfield,29,1.4
Eredivisie,2021,200,FC Utrecht,326701,Bart Ramselaar,Left Winger,26,3.8
Eredivisie,2021,200,FC Utrecht,216815,Mimoun Mahi,Left Winger,28,1.4
Eredivisie,2021,200,FC Utrecht,481117,Othmane Boussaid,Left Winger,22,1.1
Eredivisie,2021,200,FC Utrecht,268112,Gyrano Kerk,Right Winger,26,5.5
Eredivisie,2021,200,FC Utrecht,300532,Pontus Almqvist,Right Winger,22,3.0
Eredivisie,2021,200,FC Utrecht,246197,Naoki Maeda,Right Winger,27,0.9
Eredivisie,2021,200,FC Utrecht,412940,Remco Balk,Right Winger,21,0.4
Eredivisie,2021,200,FC Utrecht,371980,Mohamed Mallahi,Right Winger,22,0.275
Eredivisie,2021,200,FC Utrecht,412934,Eros Maddy,Right Winger,21,0.2
Eredivisie,2021,200,FC Utrecht,523318,Anastasios Douvikas,Centre-Forward,22,2.0
Eredivisie,2021,200,FC Utrecht,460655,Moussa Sylla,Centre-Forward,22,1.5
Eredivisie,2021,200,FC Utrecht,271743,Henk Veerman,Centre-Forward,31,0.9
Eredivisie,2021,200,FC Utrecht,288228,Adrián Dalmau,Centre-Forward,28,0.7
Eredivisie,2021,200,FC Utrecht,667007,Mees Rijks,Centre-Forward,19,0.225
Eredivisie,2021,202,FC Groningen,166326,Peter Leeuwenburgh,Goalkeeper,28,0.5
Eredivisie,2021,202,FC Groningen,409346,Jan Hoekstra,Goalkeeper,23,0.35
Eredivisie,2021,202,FC Groningen,426142,Jan de Boer,Goalkeeper,22,0.025
Eredivisie,2021,202,FC Groningen,579950,Owen van der Vlag,Goalkeeper,18,0.025
Eredivisie,2021,202,FC Groningen,503640,Neraysho Kasanwirjo,Centre-Back,20,2.5
Eredivisie,2021,202,FC Groningen,155806,Mike te Wierik,Centre-Back,30,0.65
Eredivisie,2021,202,FC Groningen,250450,Wessel Dammers,Centre-Back,27,0.6
Eredivisie,2021,202,FC Groningen,282169,Marin Šverko,Centre-Back,24,0.55
Eredivisie,2021,202,FC Groningen,458405,Radinio Balker,Centre-Back,23,0.45
Eredivisie,2021,202,FC Groningen,673067,Elias Olsson,Centre-Back,19,0.3
Eredivisie,2021,202,FC Groningen,362108,Gabriel Gudmundsson,Left-Back,23,6.0
Eredivisie,2021,202,FC Groningen,594227,Bjorn Meijer,Left-Back,19,3.0
Eredivisie,2021,202,FC Groningen,57328,Bart van Hintum,Left-Back,35,0.275
Eredivisie,2021,202,FC Groningen,593410,Yahya Kalley,Left-Back,21,0.25
Eredivisie,2021,202,FC Groningen,295624,Damil Dankerlui,Right-Back,25,0.7
Eredivisie,2021,202,FC Groningen,315145,Azor Matusiwa,Defensive Midfield,24,7.0
Eredivisie,2021,202,FC Groningen,258513,Laros Duarte,Defensive Midfield,25,1.5
Eredivisie,2021,202,FC Groningen,476915,Melayro Bogarde,Defensive Midfield,20,1.2
Eredivisie,2021,202,FC Groningen,377720,Daniël van Kaam,Defensive Midfield,22,0.7
Eredivisie,2021,202,FC Groningen,486052,Emmanuel Matuta,Defensive Midfield,20,0.35
Eredivisie,2021,202,FC Groningen,303939,Ahmed El Messaoudi,Central Midfield,26,0.675
Eredivisie,2021,202,FC Groningen,540333,Tomas Suslov,Attacking Midfield,20,3.0
Eredivisie,2021,202,FC Groningen,369653,Daleho Irandust,Attacking Midfield,24,1.2
Eredivisie,2021,202,FC Groningen,384587,Mohammed El Hankouri,Attacking Midfield,24,0.8
Eredivisie,2021,202,FC Groningen,238084,Ramon Pascal Lundqvist,Attacking Midfield,25,0.7
Eredivisie,2021,202,FC Groningen,601495,Luciano Valente,Attacking Midfield,18,0.075
Eredivisie,2021,202,FC Groningen,317593,Patrick Joosten,Left Winger,26,0.8
Eredivisie,2021,202,FC Groningen,539677,Sebastian Tounekti,Left Winger,19,0.2
Eredivisie,2021,202,FC Groningen,358032,Cyril Ngonge,Right Winger,22,1.0
Eredivisie,2021,202,FC Groningen,429983,Jørgen Strand Larsen,Centre-Forward,22,6.0
Eredivisie,2021,202,FC Groningen,579289,Paulos Abraham,Centre-Forward,19,1.2
Eredivisie,2021,202,FC Groningen,513330,Romano Postema,Centre-Forward,20,0.45
Eredivisie,2021,202,FC Groningen,110906,Michael de Leeuw,Centre-Forward,35,0.25
Eredivisie,2021,202,FC Groningen,847022,Alex Mortensen,Centre-Forward,19,0.075
Eredivisie,2021,306,SC Heerenveen,288426,Xavier Mous,Goalkeeper,26,0.45
Eredivisie,2021,306,SC Heerenveen,56631,Erwin Mulder,Goalkeeper,33,0.3
Eredivisie,2021,306,SC Heerenveen,312473,Jan Bekkema,Goalkeeper,26,0.05
Eredivisie,2021,306,SC Heerenveen,600677,Jaimy Kroesen,Goalkeeper,19,0.05
Eredivisie,2021,306,SC Heerenveen,248395,Pawel Bochniewicz,Centre-Back,26,2.2
Eredivisie,2021,306,SC Heerenveen,256718,Sven van Beek,Centre-Back,27,0.8
Eredivisie,2021,306,SC Heerenveen,321135,Ibrahim Dresevic,Centre-Back,25,0.8
Eredivisie,2021,306,SC Heerenveen,261546,Joost van Aken,Centre-Back,28,0.65
Eredivisie,2021,306,SC Heerenveen,210921,Nick Bakker,Centre-Back,29,0.45
Eredivisie,2021,306,SC Heerenveen,485586,Syb van Ottele,Centre-Back,20,0.25
Eredivisie,2021,306,SC Heerenveen,274373,Rami Kaib,Left-Back,25,0.7
Eredivisie,2021,306,SC Heerenveen,221766,Lucas Woudenberg,Left-Back,28,0.65
Eredivisie,2021,306,SC Heerenveen,587335,Milan van Ewijk,Right-Back,21,2.5
Eredivisie,2021,306,SC Heerenveen,590773,Hamdi Akujobi,Right-Back,22,0.15
Eredivisie,2021,306,SC Heerenveen,178219,Thom Haye,Defensive Midfield,27,1.3
Eredivisie,2021,306,SC Heerenveen,646670,Timo Zaal,Defensive Midfield,18,0.1
Eredivisie,2021,306,SC Heerenveen,408574,Joey Veerman,Central Midfield,23,14.0
Eredivisie,2021,306,SC Heerenveen,324957,Tibor Halilovic,Central Midfield,27,1.5
Eredivisie,2021,306,SC Heerenveen,464599,Nicolas Madsen,Central Midfield,22,0.75
Eredivisie,2021,306,SC Heerenveen,308265,Anas Tahiri,Central Midfield,27,0.7
Eredivisie,2021,306,SC Heerenveen,264748,Rodney Kongolo,Central Midfield,24,0.6
Eredivisie,2021,306,SC Heerenveen,440531,Jan Ras,Central Midfield,23,0.075
Eredivisie,2021,306,SC Heerenveen,590775,Djenahro Nunumete,Central Midfield,20,0.05
