league,season,club,games,pts,gf,ga,xg,xga,xpts,est_share,season_len,partial,is_reserve,team_id,squad_value_m,pts_pg,xpts_pg,value_rank,xg_source,predicted_xpts_pg,predicted_xpts,club_skill,pts_vs_budget,luck,growth_m,growth_pct,n_matched,n_squad
Eerste Divisie,25/26,Den Bosch,38,51,65.0,69.0,58.66,60.72,50.513830206470885,0.0,38,False,False,404,6.78,1.3421052631578947,1.329311321222918,15.0,real,1.291817581110505,49.08906808219919,1.4247621242716906,1.9109319178008066,0.48616979352911605,1.0250000000000001,0.2252747252747253,19.0,25.0
Eerste Divisie,25/26,Dordrecht,38,47,48.0,56.0,56.4,51.45,55.567707628866316,0.0,38,False,False,1455,14.1,1.236842105263158,1.462308095496482,5.0,real,1.6993654509103224,64.57588713459225,-9.008179505725936,-17.57588713459225,-8.567707628866312,0.7,0.09427609427609428,20.0,34.0
Eerste Divisie,25/26,Eindhoven,38,47,51.0,69.0,51.45,63.95,45.66399649822388,0.0,38,False,False,3892,6.3,1.236842105263158,1.2016841183743125,18.0,real,1.2509471869792312,47.535993105210785,-1.8719966069869103,-0.5359931052107845,1.3360035017761258,-0.3500000000000001,-0.07526881720430109,17.0,28.0
Eerste Divisie,25/26,Emmen,38,45,58.0,72.0,62.410000000000004,64.64,51.717356035415285,0.0,38,False,False,1283,9.53,1.1842105263157894,1.36098305356356,12.0,real,1.4813249401006914,56.29034772382627,-4.572991688410989,-11.290347723826276,-6.717356035415287,0.625,0.09881422924901186,24.0,35.0
Eerste Divisie,25/26,Helmond Sport,38,39,42.0,62.0,48.82,61.19,46.39713241748099,0.0,38,False,False,500,6.23,1.0263157894736843,1.2209771688810787,19.0,real,1.2447280266543501,47.299665012865304,-0.9025325953843155,-8.299665012865301,-7.397132417480986,-0.25,-0.06493506493506493,15.0,25.0
Eerste Divisie,25/26,Jong AZ,38,40,61.0,76.0,55.02,63.29,48.5829873567198,0.0,38,False,True,11368,51.23,1.0526315789473684,1.2784996672820998,2.0,real,2.4174749061950065,91.86404643541024,-43.281059078690454,-51.86404643541025,-8.582987356719796,14.4,0.6147278548559232,29.0,45.0
Eerste Divisie,25/26,Jong Ajax,38,35,50.0,73.0,46.89,73.2,38.95473578276221,0.0,38,False,True,8817,49.23,0.9210526315789473,1.0251246258621634,3.0,real,2.395309562284244,91.02176336680128,-52.067027584039074,-56.02176336680128,-3.9547357827622083,14.625,0.5560836501901141,19.0,38.0
Eerste Divisie,25/26,Jong PSV,38,56,66.0,64.0,55.75,68.15,46.771199205141805,0.0,38,False,True,9715,59.1,1.4736842105263157,1.230821031714258,1.0,real,2.4970174723761485,94.88666395029364,-48.11546474515183,-38.886663950293645,9.228800794858191,3.0,0.1366742596810934,21.0,33.0
Eerste Divisie,25/26,Jong Utrecht,38,46,58.0,62.0,60.13,56.71,54.687841454025815,0.0,38,False,True,17596,12.55,1.2105263157894737,1.4391537224743636,7.0,real,1.6345460262615374,62.112748997938425,-7.424907543912607,-16.112748997938425,-8.687841454025817,-2.725,-0.21669980119284293,23.0,31.0
Eerste Divisie,25/26,MVV,38,38,41.0,73.0,40.19,77.37,33.121426288989134,0.0,38,False,False,384,6.9,1.0,0.8716164812891878,14.0,real,1.3015829027851653,49.46015030583628,-16.338724016847145,-11.460150305836281,4.878573711010864,0.35000000000000003,0.08139534883720931,18.0,30.0
Eerste Divisie,25/26,RKC Waalwijk,38,58,71.0,59.0,61.17,49.82,59.98815533938259,0.0,38,False,False,235,10.45,1.5263157894736843,1.5786356668258577,11.0,real,1.5326205062263702,58.23957923660207,1.7485761027805213,-0.23957923660206637,-1.9881553393825877,0.4750000000000001,0.05956112852664578,26.0,33.0
Eerste Divisie,25/26,Roda JC,38,55,59.0,54.0,65.21,50.96,60.90076451941094,0.0,38,False,False,192,7.78,1.4473684210526316,1.6026516978792353,13.0,real,1.3683954302451073,51.99902634931408,8.901738170096863,3.000973650685923,-5.900764519410941,-0.2000000000000001,-0.039800995024875635,18.0,29.0
Eerste Divisie,25/26,TOP Oss,38,44,54.0,64.0,49.47,62.4,44.795754315467065,0.0,38,False,False,1228,6.41,1.1578947368421053,1.1788356398807123,16.0,real,1.260581888028479,47.9021117450822,-3.106357429615133,-3.9021117450821974,-0.7957543154670645,1.025,0.2546583850931677,20.0,30.0
