league,season,team_id,player_id,player_name,position,age,value_m,prev_value_m,growth,club
Eredivisie,22/23,200,187105,Mike van der Hoorn,Centre-Back,30,1.5,1.6,-0.10000000000000009,Utrecht
Eredivisie,22/23,200,436064,Ramon Hendriks,Centre-Back,21,0.75,0.8,-0.050000000000000044,Utrecht
Eredivisie,22/23,200,458734,Tommy St. Jago,Centre-Back,23,0.7,1.0,-0.30000000000000004,Utrecht
Eredivisie,22/23,200,93081,Nick Viergever,Centre-Back,33,0.65,0.8,-0.15000000000000002,Utrecht
Eredivisie,22/23,200,578421,Ruben Kluivert,Centre-Back,22,0.5,0.2,0.3,Utrecht
Eredivisie,22/23,200,477249,Christopher Mamengi,Centre-Back,22,0.425,0.425,0.0,Utrecht
Eredivisie,22/23,200,596178,Rick Meissen,Centre-Back,21,0.35,0.3,0.04999999999999999,Utrecht
Eredivisie,22/23,200,288449,Django Warmerdam,Left-Back,27,0.9,1.2,-0.29999999999999993,Utrecht
Eredivisie,22/23,200,268113,Sean Klaiber,Right-Back,28,2.5,2.8,-0.2999999999999998,Utrecht
Eredivisie,22/23,200,258519,Hidde ter Avest,Right-Back,26,1.3,2.0,-0.7,Utrecht
Eredivisie,22/23,200,128042,Mark van der Maarel,Right-Back,33,0.4,0.4,0.0,Utrecht
Eredivisie,22/23,200,369552,Luuk Brouwers,Central Midfield,25,1.2,1.0,0.19999999999999996,Utrecht
Eredivisie,22/23,200,596148,Djevencio van der Kust,Central Midfield,22,0.85,0.65,0.19999999999999996,Utrecht
Eredivisie,22/23,200,540659,Albert Lottin,Central Midfield,21,0.3,0.4,-0.10000000000000003,Utrecht
Eredivisie,22/23,200,488296,Rocco Shein,Central Midfield,19,0.275,0.25,0.025000000000000022,Utrecht
Eredivisie,22/23,200,536477,Arthur Zagré,Left Midfield,21,0.7,1.0,-0.30000000000000004,Utrecht
Eredivisie,22/23,200,123349,Zakaria Labyad,Attacking Midfield,30,1.6,3.0,-1.4,Utrecht
Eredivisie,22/23,200,190222,Sander van de Streek,Attacking Midfield,30,1.6,1.4,0.20000000000000018,Utrecht
Eredivisie,22/23,200,400548,Victor Jensen,Attacking Midfield,23,1.0,0.8,0.19999999999999996,Utrecht
Eredivisie,22/23,200,134999,Jens Toornstra,Attacking Midfield,34,0.75,1.2,-0.44999999999999996,Utrecht
Eredivisie,22/23,200,326701,Bart Ramselaar,Left Winger,27,3.3,3.8,-0.5,Utrecht
Eredivisie,22/23,200,481117,Othmane Boussaid,Left Winger,23,2.2,1.1,1.1,Utrecht
Eredivisie,22/23,200,216815,Mimoun Mahi,Left Winger,29,0.7,1.4,-0.7,Utrecht
Eredivisie,22/23,200,246197,Naoki Maeda,Right Winger,28,0.7,0.9,-0.20000000000000007,Utrecht
Eredivisie,22/23,200,608407,Derensili Sanches Fernandes,Right Winger,22,0.275,0.15,0.12500000000000003,Utrecht
Eredivisie,22/23,200,523318,Anastasios Douvikas,Centre-Forward,23,9.0,2.0,7.0,Utrecht
Eredivisie,22/23,200,460655,Moussa Sylla,Centre-Forward,23,1.2,1.5,-0.30000000000000004,Utrecht
Eredivisie,22/23,200,361081,Daishawn Redan,Centre-Forward,22,1.0,1.0,0.0,Utrecht
Eredivisie,22/23,306,276853,Andries Noppert,Goalkeeper,29,4.5,0.45,4.05,Heerenveen
Eredivisie,22/23,306,288426,Xavier Mous,Goalkeeper,27,0.45,0.45,0.0,Heerenveen
Eredivisie,22/23,306,312473,Jan Bekkema,Goalkeeper,27,0.05,0.05,0.0,Heerenveen
Eredivisie,22/23,306,248395,Pawel Bochniewicz,Centre-Back,27,3.0,2.2,0.7999999999999998,Heerenveen
Eredivisie,22/23,306,256718,Sven van Beek,Centre-Back,28,1.0,0.8,0.19999999999999996,Heerenveen
Eredivisie,22/23,306,485586,Syb van Ottele,Centre-Back,21,0.75,0.25,0.5,Heerenveen
Eredivisie,22/23,306,261546,Joost van Aken,Centre-Back,29,0.7,0.65,0.04999999999999993,Heerenveen
Eredivisie,22/23,306,288067,Mats Köhlert,Left-Back,25,1.5,0.65,0.85,Heerenveen
Eredivisie,22/23,306,274373,Rami Kaib,Left-Back,26,0.6,0.7,-0.09999999999999998,Heerenveen
Eredivisie,22/23,306,587335,Milan van Ewijk,Right-Back,22,7.0,2.5,4.5,Heerenveen
Eredivisie,22/23,306,178219,Thom Haye,Defensive Midfield,28,2.5,1.3,1.2,Heerenveen
Eredivisie,22/23,306,646670,Timo Zaal,Defensive Midfield,19,0.25,0.1,0.15,Heerenveen
Eredivisie,22/23,306,308265,Anas Tahiri,Central Midfield,28,1.2,0.7,0.5,Heerenveen
Eredivisie,22/23,306,324957,Tibor Halilovic,Central Midfield,28,0.8,1.5,-0.7,Heerenveen
Eredivisie,22/23,306,590775,Djenahro Nunumete,Central Midfield,21,0.05,0.05,0.0,Heerenveen
Eredivisie,22/23,306,593415,Rami Al Hajj,Attacking Midfield,21,0.5,0.3,0.2,Heerenveen
Eredivisie,22/23,306,326030,Ché Nunnely,Right Winger,24,0.7,0.85,-0.15000000000000002,Heerenveen
Eredivisie,22/23,306,748382,Amin Sarr,Centre-Forward,22,8.0,2.0,6.0,Heerenveen
Eredivisie,22/23,306,439292,Sydney van Hooijdonk,Centre-Forward,23,6.0,1.3,4.7,Heerenveen
Eredivisie,22/23,202,288259,Michael Verrips,Goalkeeper,26,0.6,0.8,-0.20000000000000007,Groningen
Eredivisie,22/23,202,166326,Peter Leeuwenburgh,Goalkeeper,29,0.4,0.5,-0.09999999999999998,Groningen
Eredivisie,22/23,202,409346,Jan Hoekstra,Goalkeeper,24,0.35,0.35,0.0,Groningen
Eredivisie,22/23,202,426142,Jan de Boer,Goalkeeper,23,0.075,0.025,0.049999999999999996,Groningen
Eredivisie,22/23,202,503640,Neraysho Kasanwirjo,Centre-Back,21,2.5,2.5,0.0,Groningen
Eredivisie,22/23,202,458405,Radinio Balker,Centre-Back,24,1.0,0.45,0.55,Groningen
Eredivisie,22/23,202,250450,Wessel Dammers,Centre-Back,28,0.6,0.6,0.0,Groningen
Eredivisie,22/23,202,412933,Liam van Gelderen,Centre-Back,22,0.6,0.65,-0.050000000000000044,Groningen
Eredivisie,22/23,202,155806,Mike te Wierik,Centre-Back,31,0.4,0.65,-0.25,Groningen
Eredivisie,22/23,202,282169,Marin Šverko,Centre-Back,25,0.4,0.55,-0.15000000000000002,Groningen
Eredivisie,22/23,202,420215,Nordin Musampa,Centre-Back,21,0.4,0.5,-0.09999999999999998,Groningen
Eredivisie,22/23,202,593410,Yahya Kalley,Left-Back,22,0.3,0.25,0.04999999999999999,Groningen
Eredivisie,22/23,202,295624,Damil Dankerlui,Right-Back,26,0.4,0.7,-0.29999999999999993,Groningen
Eredivisie,22/23,202,258513,Laros Duarte,Defensive Midfield,26,0.8,1.5,-0.7,Groningen
Eredivisie,22/23,202,486052,Emmanuel Matuta,Defensive Midfield,21,0.25,0.35,-0.09999999999999998,Groningen
Eredivisie,22/23,202,540333,Tomas Suslov,Attacking Midfield,21,2.0,3.0,-1.0,Groningen
Eredivisie,22/23,202,238084,Ramon Pascal Lundqvist,Attacking Midfield,26,0.7,0.7,0.0,Groningen
Eredivisie,22/23,202,369653,Daleho Irandust,Attacking Midfield,25,0.7,1.2,-0.5,Groningen
Eredivisie,22/23,202,601495,Luciano Valente,Attacking Midfield,19,0.5,0.075,0.425,Groningen
Eredivisie,22/23,202,410854,Ragnar Oratmangoen,Left Winger,25,0.45,0.55,-0.10000000000000003,Groningen
Eredivisie,22/23,202,317593,Patrick Joosten,Left Winger,27,0.4,0.8,-0.4,Groningen
Eredivisie,22/23,202,513332,Kian Slor,Left Winger,21,0.1,0.1,0.0,Groningen
Eredivisie,22/23,202,358032,Cyril Ngonge,Right Winger,23,2.0,1.0,1.0,Groningen
Eredivisie,22/23,202,429983,Jørgen Strand Larsen,Centre-Forward,23,11.0,6.0,5.0,Groningen
Eredivisie,22/23,202,579289,Paulos Abraham,Centre-Forward,20,0.7,1.2,-0.5,Groningen
Eredivisie,22/23,202,513330,Romano Postema,Centre-Forward,21,0.45,0.45,0.0,Groningen
Eredivisie,22/23,499,296741,Markus Schubert,Goalkeeper,25,0.4,0.6,-0.19999999999999996,Vitesse
Eredivisie,22/23,499,412946,Daan Reiziger,Goalkeeper,22,0.35,0.15,0.19999999999999998,Vitesse
Eredivisie,22/23,499,257980,Jeroen Houwen,Goalkeeper,27,0.25,0.5,-0.25,Vitesse
Eredivisie,22/23,499,353559,Dominik Oroz,Centre-Back,22,0.6,0.6,0.0,Vitesse
Eredivisie,22/23,499,181469,Tomas Hajek,Centre-Back,31,0.3,0.4,-0.10000000000000003,Vitesse
Eredivisie,22/23,499,196793,Maximilian Wittek,Left-Back,27,2.0,2.5,-0.5,Vitesse
Eredivisie,22/23,499,536521,Romaric Yapi,Right-Back,22,0.3,0.2,0.09999999999999998,Vitesse
Eredivisie,22/23,499,607164,Enzo Cornelisse,Defensive Midfield,21,0.55,0.4,0.15000000000000002,Vitesse
Eredivisie,22/23,499,204047,Matus Bero,Central Midfield,27,2.3,2.5,-0.20000000000000018,Vitesse
Eredivisie,22/23,499,426280,Melle Meulensteen,Central Midfield,23,2.0,0.8,1.2,Vitesse
Eredivisie,22/23,499,210348,Sondre Tronstad,Central Midfield,27,1.6,2.0,-0.3999999999999999,Vitesse
Eredivisie,22/23,499,147034,Marco van Ginkel,Central Midfield,30,1.3,1.75,-0.44999999999999996,Vitesse
Eredivisie,22/23,499,344649,Toni Domgjoni,Central Midfield,24,0.8,1.5,-0.7,Vitesse
Eredivisie,22/23,499,564448,Daan Huisman,Central Midfield,20,0.5,0.5,0.0,Vitesse
Eredivisie,22/23,499,747243,Gyan de Regt,Left Winger,19,0.1,0.1,0.0,Vitesse
Eredivisie,22/23,499,564449,Million Manhoef,Right Winger,21,3.5,0.45,3.05,Vitesse
